<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2018.04.17	7.950	7.960	7.910	7.940	4001	168630	5
2018.04.18	7.930	7.930	7.860	7.870	5403	193170	5
2018.04.19	7.880	7.940	7.880	7.920	5139	192790	5
2018.04.20	7.910	7.910	7.850	7.870	6254	171305	5
2018.04.23	7.890	7.950	7.890	7.950	3933	119240	5
2018.04.24	7.920	8.000	7.900	7.950	7570	243790	5
2018.04.25	8.010	8.060	7.940	7.970	13707	361261	5
2018.04.26	7.950	7.990	7.900	7.910	7722	244005	5
2018.04.27	7.900	7.920	7.860	7.890	3812	209935	5
2018.04.30	7.900	7.980	7.900	7.980	3283	101134	5
2018.05.02	8.000	8.050	7.970	8.020	6432	226795	5
2018.05.03	8.000	8.100	7.980	8.050	8344	301250	5
2018.05.04	8.060	8.120	8.020	8.060	9494	267775	5
2018.05.07	8.060	8.160	8.060	8.160	4258	165750	5
2018.05.08	8.210	8.360	8.190	8.280	24462	602458	5
2018.05.09	8.220	8.480	8.210	8.450	14580	458000	5
2018.05.10	8.380	8.400	8.230	8.240	10861	463520	5
2018.05.11	8.220	8.390	8.190	8.360	9758	344240	5
2018.05.14	8.330	8.550	8.330	8.460	13860	350170	5
2018.05.15	8.560	8.660	8.420	8.420	19922	527900	5
2018.05.16	8.430	8.510	8.420	8.480	9530	271835	5
2018.05.17	8.550	8.760	8.500	8.640	21651	616400	5
2018.05.18	8.710	9.000	8.710	8.930	32346	858049	5
2018.05.21	8.840	8.990	8.700	8.700	20776	453955	5
2018.05.22	8.670	8.720	8.620	8.680	13630	378660	5
2018.05.23	8.790	8.800	8.550	8.600	20101	473789	5
2018.05.24	8.710	8.780	8.600	8.660	17140	477590	5
2018.05.25	8.640	8.800	8.640	8.700	15938	379305	5
2018.05.28	8.690	8.870	8.680	8.850	12730	308250	5
2018.05.29	8.910	8.960	8.730	8.940	19457	411760	5
2018.05.30	8.830	9.120	8.800	8.810	35053	658515	5
2018.06.01	8.820	8.890	8.720	8.790	21422	379300	5
2018.06.04	8.750	8.870	8.730	8.750	10595	204320	5
2018.06.05	8.800	9.170	8.780	9.140	25654	512745	5
2018.06.06	9.130	9.500	9.120	9.440	36178	567795	5
2018.06.07	9.470	10.310	9.380	9.770	47385	588940	5
2018.06.08	9.750	10.270	9.500	9.510	45172	521310	5
2018.06.11	9.550	9.720	9.350	9.660	26174	302080	5
2018.06.12	9.620	9.810	9.570	9.770	20847	296480	5
2018.06.13	9.820	10.040	9.710	9.930	19415	254310	5
2018.06.14	9.820	10.500	9.780	10.440	27837	491630	5
2018.06.15	10.260	10.450	9.980	10.050	21528	299070	5
2018.06.18	10.060	10.090	9.730	9.760	13746	202282	5
2018.06.19	9.820	9.930	9.500	9.600	14371	207512	5
2018.06.20	9.650	9.710	9.430	9.660	11270	184910	5
2018.06.21	9.600	9.880	9.590	9.720	15588	225590	5
2018.06.22	9.700	9.790	9.650	9.750	7434	113930	5
2018.06.25	9.700	9.700	9.480	9.490	6614	124300	5
2018.06.26	9.550	9.560	9.300	9.410	11087	221865	5
2018.06.27	9.400	9.560	9.370	9.510	9066	168105	5
2018.06.28	9.480	9.520	9.310	9.360	10606	248045	5
2018.06.29	9.340	9.400	9.250	9.300	11102	233660	5
2018.07.02	9.350	9.370	9.210	9.210	6580	125100	5
2018.07.03	9.180	9.330	9.110	9.310	9067	249965	5
2018.07.04	9.280	9.360	9.250	9.340	6600	127390	5
2018.07.05	9.290	9.450	9.250	9.380	13004	249075	5
2018.07.06	9.360	9.410	9.240	9.280	9485	148870	5
2018.07.10	9.280	9.310	9.050	9.150	8922	186344	5
2018.07.11	9.180	9.220	9.040	9.190	10199	186095	5
2018.07.12	9.180	9.350	9.100	9.280	11137	251625	5
2018.07.13	9.310	9.320	9.190	9.210	5391	100940	5
2018.07.16	9.200	9.210	9.150	9.170	5046	104095	5
2018.07.17	9.200	9.230	9.080	9.100	6896	154960	5
2018.07.18	9.120	9.190	9.090	9.180	9247	146085	5
2018.07.19	9.220	9.260	9.050	9.050	9374	200713	5
2018.07.20	8.970	9.080	8.950	9.050	10924	228535	5
2018.07.23	9.100	9.140	9.060	9.090	5169	120145	5
2018.07.24	9.100	9.100	9.010	9.030	5646	122350	5
2018.07.25	9.040	9.040	8.930	8.930	5528	152725	5
2018.07.26	8.950	9.000	8.920	8.950	5577	136485	5
2018.07.27	8.910	8.960	8.840	8.880	6892	176465	5
2018.07.30	8.870	8.920	8.870	8.880	4344	89805	5
2018.07.31	8.890	8.940	8.870	8.910	5048	142210	5
2018.08.01	8.900	8.930	8.840	8.870	5668	158805	5
2018.08.02	8.940	8.970	8.880	8.900	5889	164345	5
2018.08.03	8.870	8.890	8.810	8.850	8146	206285	5
2018.08.06	8.820	8.900	8.790	8.840	5084	101195	5
2018.08.07	8.820	9.010	8.760	8.940	12553	367425	5
2018.08.08	8.960	9.070	8.940	9.070	14966	331530	5
2018.08.09	9.110	9.200	9.070	9.170	7537	257070	5
2018.08.10	9.270	9.570	9.230	9.530	15118	363000	5
2018.08.13	9.660	9.730	9.410	9.450	15361	367050	5
2018.08.14	9.390	9.400	9.200	9.220	14131	433790	5
2018.08.15	9.320	9.380	9.160	9.200	14649	410585	5
2018.08.16	9.180	9.310	9.100	9.260	14660	350870	5
2018.08.17	9.300	9.460	9.230	9.250	11117	260470	5
2018.08.20	9.270	9.390	9.220	9.360	9768	188765	5
2018.08.21	9.360	9.780	9.340	9.770	12955	299265	5
2018.08.22	9.730	9.880	9.490	9.500	16466	300470	5
2018.08.23	9.550	9.870	9.490	9.780	14481	246985	5
2018.08.24	9.700	9.850	9.630	9.680	11985	201060	5
2018.08.27	9.660	9.740	9.600	9.630	7154	113980	5
2018.08.28	9.640	9.760	9.600	9.660	11138	222310	5
2018.08.29	9.690	9.740	9.570	9.580	8854	176475	5
2018.08.30	9.620	9.960	9.570	9.910	19286	335285	5
2018.08.31	9.960	10.090	9.760	9.820	13607	241250	5
2018.09.03	9.850	10.020	9.850	9.990	5341	128970	5
2018.09.04	10.080	10.150	9.920	10.130	13421	330925	5
2018.09.05	10.180	10.210	10.000	10.180	13585	317870	5
2018.09.06	10.010	10.080	9.730	9.740	11249	238365	5
2018.09.10	9.730	9.930	9.720	9.740	9930	202085	5
2018.09.11	9.870	10.000	9.790	9.810	9131	199555	5
2018.09.12	9.760	9.820	9.680	9.820	9772	213575	5
2018.09.13	9.770	10.010	9.710	9.990	11761	247090	5
