<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2018.04.26	86200	87370	85815	87255	9966	71930	5
2018.04.27	87170	87775	86820	87000	10623	65455	5
2018.04.30	87000	87350	86260	86265	7327	53330	5
2018.05.02	86165	86315	84870	84980	14647	92275	5
2018.05.03	85050	85080	83610	83700	16360	102390	5
2018.05.04	83800	84200	83100	83590	13109	80920	5
2018.05.07	83705	84145	82950	82950	10636	64485	5
2018.05.08	83055	83895	82580	83770	18247	118210	5
2018.05.09	84050	84955	83210	84750	15192	100800	5
2018.05.10	84865	86680	84680	86300	15067	96170	5
2018.05.11	86415	86830	85505	85880	12448	81495	5
2018.05.14	85920	86465	85005	85850	14446	92290	5
2018.05.15	85410	85915	84105	85780	16884	109260	5
2018.05.16	85590	87080	85220	86785	12633	84490	5
2018.05.17	86350	86440	83560	83760	23000	140180	5
2018.05.18	84190	84200	81635	83095	23592	148890	5
2018.05.21	83720	84200	81835	82300	15988	102425	5
2018.05.22	82505	83755	81770	82960	19903	131960	5
2018.05.23	82000	82390	80985	81300	16703	105470	5
2018.05.24	79555	80545	79100	80280	19662	135900	5
2018.05.25	80320	80890	78750	79160	16496	104840	5
2018.05.28	78350	78660	75130	75200	20800	134615	5
2018.05.29	74800	77375	74800	76005	24056	149675	5
2018.05.30	76450	77285	75575	77220	19963	122070	5
2018.06.01	77605	78295	75435	77720	19041	126410	5
2018.06.04	78300	78760	77930	78620	11545	73600	5
2018.06.05	78455	78955	76405	76640	17761	111790	5
2018.06.06	76850	77055	75360	75585	20279	129465	5
2018.06.07	75800	76125	71070	73980	33317	215825	5
2018.06.08	73930	74105	71560	72815	24116	156225	5
2018.06.11	72950	73725	71830	72085	16594	103680	5
2018.06.12	72085	73340	71620	72855	14422	89090	5
2018.06.13	73725	73980	71715	72955	16605	103475	5
2018.06.18	70695	70970	69925	70405	8767	51985	5
2018.06.19	69280	72790	69280	71935	17488	102340	5
2018.06.20	72235	73185	71665	72955	15093	92245	5
2018.06.21	72400	72700	70300	70300	12550	74515	5
2018.06.22	70700	71635	70400	70980	9909	57790	5
2018.06.25	70870	72145	70230	72000	12225	71955	5
2018.06.26	71700	72170	70625	71750	15160	93965	5
2018.06.27	72020	72520	70510	70810	14131	85690	5
